Universidade,Repasse,Folha Salarial,Frac,Endowment
USP,4.6,4.6,100.4,1
Unicamp,2.0,2.0,101.3,1
Unesp,2.1,2.1,99.7,1
Harvard,9,10,110,138
Oxford,1.8,5.9,327,27
Stanford,4.9,8.7,177,90
